dataset,model,train_acc,cv_0_acc,cv_1_acc,cv_2_acc
spam,basic-tree,0.7948569218870843,0.7975638051044084,0.8074245939675174,0.7795823665893271
spam,bagged-trees,0.7948569218870843,0.7975638051044084,0.8074245939675174,0.7795823665893271
spam,random-forest,0.7948569218870843,0.7975638051044084,0.8074245939675174,0.781322505800464
titanic,basic-tree,0.8048048048048048,0.8018018018018018,0.7807807807807807,0.8318318318318318
titanic,bagged-trees,0.8048048048048048,0.7957957957957958,0.7687687687687688,0.8198198198198198
titanic,random-forest,0.7927927927927928,0.7807807807807807,0.7657657657657657,0.8168168168168168
